"painel","categoria","tecnologia","secao","gene"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","GATA3"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","GNAS"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","IGF1R"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","JAK2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","KDR"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","MCL1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","MED12"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","MRE11A"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","NBN"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PDGFRB"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PIK3CB"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PIK3R1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PTCH1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","RAD50"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","RAF1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","SMARCA4"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","SMARCB1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","TSC1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","TSC2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","ARID1A"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","B2M"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","CD274"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","CDH1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","CDKN1A"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","CDKN1B"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","CTNNB1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","DNMT3A"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","EZH2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","KMT2D (MLL2)"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","MAP2K2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","MDM2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","MYCN"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","NFE2L2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","NOTCH1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","NPM1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PBRM1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PDCD1LG2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","RHEB"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","RNF43"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","SMAD4"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","VEGFA"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","ACVR1B"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","AKT3"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","CASP8"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","EPHA2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","EPHA5"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","GRM3"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","IL7R"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","KDM5C"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","NOTCH3"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PTPRD"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","RBM10"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","SF3B1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","SMAD2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","SOX9"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","TBX3"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","TGFBR2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","FANCD2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","FANCE"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","FANCF"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","RECQL4"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","WRN"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","ERRFI1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","FAT3"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","FLT4"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","FOXL2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","HNF1A"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PIK3CG"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","PTPN11"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","SETD2"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","BLM"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","SPOP"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","CSF1R"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","KEAP1"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","POLE"
"Painel de DNA tumores sólidos","Somático","DNA","Hotspots CDS","STK11"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","ALK"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","NTRK1"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","NTRK2"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","NTRK3"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","CD74"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","ETV6"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","EGFR"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","FGFR2"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","FGFR3"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","FGFR1"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","RET"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","ROS1"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","EZR"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","SDC4"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","MET"
"Painel de DNA tumores sólidos","Somático","DNA","Non-coding / intrónico","TERT"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","TP53"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","ABCB1"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","ATIC"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","C8orf34"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","CASP7"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","CBR3"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","CDA"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","CEP72"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","CYP19A1"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","CYP2D6"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","DHFR"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","DPYD"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","ERCC1"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","GGH"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","GSTP1"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","MTHFR"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","MTRR"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","NQO1"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","PNPLA3"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","SLC19A1"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","SLC28A3"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","SOD2"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","UGT1A1"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","UMPS"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","XPC"
"Painel de DNA tumores sólidos","Somático","DNA","PGx complementar","XRCC1"
