"painel","categoria","tecnologia","secao","gene"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MYC"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","MYCL"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NAB2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NCOA1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NCOA2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NCOA3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NCOA4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NOTCH1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NOTCH2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NOTCH3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NPM1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NR4A3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NRG1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NTRK1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NTRK2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NTRK3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NUTM1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NUTM2A"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","NUTM2B"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","OGA"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PATZ1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PAX3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PAX7"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PDCD1LG2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PDGFB"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PDGFRA"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PDGFRB"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PGR"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PHF1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PIK3CA"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PLAG1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PPARG"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PRDM10"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","PRKACA"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","RAD51B"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","RAF1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","RELA"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","RET"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ROS1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","RPS6KB1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","RSPO2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","RSPO3"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","SDC4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","SLC34A2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","SRF"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","SS18"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","SSX1"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","SSX2"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","SSX4"
"Painel de fusões de RNA","RNA","RNA","Painel de fusões RNA","ST3GAL1"
